StationCode,SampleID,FinalID,Distinct,LifeStageCode,BAResult,ML#
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Maurina lanceolata,,L,1,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Blepharicera,,L,2,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Atherix pachypus,,L,1,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Eukifferiella,,L,2,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Cricotopus/Orthocladius,,L,56,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Cricotopus trifascia gr,,L,8,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Rheocricotopus,,L,1,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Cricotopus,,P,8,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Polypedilum,,L,10,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Rheotanytarsus,,L,15,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Stempellinella,,L,2,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Microtendipes pedellus gr,,L,2,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Phaenopsectra,,L,4,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Microchironomus,,L,1,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Labrundinia,,P,1,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Potthastia gaedii gr,,L,1,25037
504BCCUF,504BCCUF_2025_25037_BMI_RWB_1,Tanytarsus,,L,4,25037
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Baetis tricaudatus complex,,L,4,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Baetis,,L,2,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Anafroptilum,,L,1,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Epeorus,,L,1,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Heptageniidae,,L,4,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Tricorythodes,,L,26,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Pteronarcys californica,,L,1,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Hydropsychidae,,L,4,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Hydropsyche,,L,12,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Cheumatopsyche,,L,11,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Hydropsychidae,,P,2,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Hydroptila,,L,9,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Hydroptilidae,,P,5,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Ochrotrichia,,L,47,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Brachycentrus occidentalis,,L,5,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Glossosomatidae,,P,1,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Glossosoma,,L,3,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Protoptila,,L,1,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Oecetis,,L,1,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Leptoceridae,,L,2,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Micrasema,,L,1,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Helicopsyche,,L,1,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Ceratopogoninae,,L,4,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Antocha manticola,,L,1,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Simulium,,L,1,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Hemerodromia,,L,1,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Empididae,,L,1,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Zaitzevia,,A,2,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Optioservus,,A,5,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Optioservus,,L,102,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Zaitzevia,,L,7,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Atractelmis wawona,,L,2,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Ampumixis dispar,,L,3,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Gomphidae,,L,1,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Argia,,L,8,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Petrophila,,L,7,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Physa,,X,41,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Prostoma,,X,10,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Oligochaeta,,X,21,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Torrenticola,,X,12,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Lebertia,,X,4,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Sperchon,,X,3,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Hygrobates,,X,3,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Trombidiformes,,X,4,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Ablabesmyia,,L,1,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Tanypodinae,,L,2,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Potthastia gaedii gr,,L,4,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Cricotopus trifascia gr,,L,2,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Eukifferiella,,L,2,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Cricotopus/Orthocladius,,L,19,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Tanytarsini,,L,29,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Cricotopus,,L,1,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Rheotanytarsus,,L,36,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Micropsectra/Tanytarsus,,L,56,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Polypedilum,,L,8,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Stempellinella,,L,6,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Pseudochironomus,,L,11,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Tanytarsus,,P,3,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Rheotanytarsus,,P,3,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Tanypodinae,,P,1,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Diamesinae,,P,1,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Cricotopus,,P,3,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Orthocladiinae,,L,6,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Chironomini,,L,8,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Cladotanytarsus,,L,7,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Phaenopsectra,,L,1,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Dicrotendipes,,L,2,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Apedilum,,L,4,25038
504BCCSSM,504BCCSSM_2025_25038_BMI_RWB_1,Paratendipes,,L,1,25038
